"","klasifikasi","score","text"
"180","Negatif",-5,"chomingp andhikatsu catatanirfan arnoldbelau kaesangp yaudah knapa pas g gak lu kritik      fatal  ketimbang dipake anak presiden  lihat wayang dijepang digunain orang jepang  orang indonesia    salah  bentuk gunungannya aja  aja tetep bangga budaya   tunjukin "
"181","Netral",0,"ilhamlomo garagarabola  ngancurin   membangun biar aja club gak  pssi  bego kya dalang gak  wayang"
"182","Negatif",-1,"imanbudiman rashidyusoff kalo  beranikritik   tindakankalo     kerajaan  diorang takutsetakat kritik wat wayang je"
"183","Negatif",-1,"coralkopi wayang kuat  ni    menangis  stage "
"184","Positif",1,"awani bagus macamni la menteri  kerja tgk  senyap  wayang  lapangan  dengar  org "
"185","Netral",0,"serasa  wayang versi manusia "
"186","Netral",0,"yusufdumdum gibrantweet bapaknya aja wayang gimana anaknya  "
"187","Netral",0,"kapolsek cangkuang polresta bandung  forkopimcan mendampingi bupati bandung hmdadang supriatna sip"
"188","Netral",0,"ekakunjeri solehsolihun ajak nonton wayang aja yu"
"189","Netral",0,"wayang x      motorsikal last media  jugak senyap  konon "
"190","Netral",0,"azmishafiq syahredzan wayang kelas a sblm ni   moto phuiiii"
"191","Netral",0,"syahredzan anthonyloke senyap   media   wayang x habis dap ni sblm ni   motopoodaahhhhhh"
"192","Netral",0,"shezzlahhhhh i dah  kerja kat wayang  "
"193","Netral",0,"fluxz nak tiket wayang free  tu "
"194","Netral",0,"plis plis  beli aerostreet x mangkunegaran sm wayang "
"195","Negatif",-1,"wanmafiq sabar bang single ni best jugak tau  jalan sorang tengok wayang sorang  best kannn "
"196","Negatif",-1,"wayang misterius"
"197","Netral",0,"meowwwrawrr   wayang "
"198","Netral",0,"urblacktea gassskeun     pecinta wayang kulit hehehehe"
"199","Netral",0,"ayo    surabaya besok nonton wayang yok "
"200","Negatif",-3,"when kaka lo mulutnya kaya ular  gua tusuk aja perutnya ya kek kont anj so iye  si  barang    nahjisss kaya ga  vibes kakanya bngt aselii cocok  ank  wayang si iyuhhh"
"201","Netral",0,"pokai sia duit  roommate ajak tengok wayang pastu schoolmate ajak jgk dlm minggu   lak tu aiyooo"
"202","Negatif",-2,"wayang golek gempur rokok ilegal digelar  garut kasatpol pp jabar total rokok ilegal batang "
"203","Negatif",-1,"  wayang timplong berfungsi  hiburan populer kendati  hidup  berkembang  wilayah nganjuk  meraih popularitas  an   popularitasnya  menurun  wayang timplong  mengalami ancaman kepunahan "
"204","Positif",1,"isowira vivacoid  yg mikir politisi gk pake bohir  hidup  dunia fantasi yg membedakan   leadership  yg  wayang yg dikendalikan dalang    mengarahkan  yg    tp yg   tumbuh "
"205","Netral",0,"paket buku serat pakem wayang amp ringgit purwa  buku harga minat  order silakan dm  klik link wa "
"206","Negatif",-2,"tengkudtrace awani   tu  wayang je fitnah  direka dikalangan balaci politaik utk mengeruhkan lawan     persepsi  sentimen  diwujudkan"
"207","Positif",1,"ingatkan  ahli politik  matang  terbawabawa dendam nak jaga rakyat wayang"
"208","Negatif",-1,"segenap keluarga  dinas kebudayaan provinsi dki jakarta menghaturkan  berduka cita  berpulangnya agung pujo widodo    penari  wayang orang bharata beliau meninggal    senin desember  wib "
"209","Positif",2,"bayang farhanzulkefly wayang   tu keje je laut lembik   sb  menteri kewangan  la negara jd mcm ni  bijak lgsg"
"210","Positif",1," penempaan pengetahuan  pelatihan tari wayang topeng jatiduwur  peserta didik memiliki kesempatan emas  menentukan strategi     membumikan kesenian asli tanah kelahirannya "
"211","Netral",0,"tvonenews spt cerita wayang aja"
"212","Netral",0,"oposisicerdas  mencopot karna   nya hnya wayang"
"213","Negatif",-1,"lawak  orang   ngulor tetibe rajin  ni   orang   wayang     ni  bonus"
"214","Netral",0,"baharst ramlirizal fnncoid tempodotco geloraco msaiddidu democrazymedia konfrontasico reflyhz wayang  brooo"
"215","Netral",0,"democrazymedia wayang  broo"
"216","Negatif",-1,"pekan budaya difabel  resmi  ditutup  drs aryanto hendro suprantoro kepala seksi seni  dinas kebudayaan diy  simbolik  diserahkab wayang  ki dalang kevin aditama pekanbudayadifabel pekandifabel pekanbudayadifabel haridisabilitas"
"217","Positif",1,"tanyarlfes seneng banget  malem  dengerin pengajian  dengerin wayang kulit"
"218","Positif",2,"adegan limbukan  adegan  bersifat humor  alur penceritaan  terkait  cerita utama pagelaran wayang kulit adegan  bersifat sebagau selingan  refreshing   adeganadegan  bersifat serius pekanbudayadifabel pekandifabel haridifabel"
"219","Positif",1,"adegan limbukan  muncul tokoh limbuk  cangik tokoh wayang  bentuk tubuh  ramping  cangik sementata  gemuk   limbuk pekanbudayadifabel pekandifabel pekanbudayadifabel haridisabilitas haridifabel "
"220","Netral",0,"sabtu gerrrgerrran tebaktebakan bareng punokawanito  ki dalang kevin aditama  adegan limbukan pementasan wayang lakon gathotkaca winisuda pekanbudayadifabel pekandifabel pekanbudayadifabel haridisabilutasinternasional haridisabilitas haridifabel"
"221","Netral",0,"semalam cuti  nk healing  sunway sorang sbb  gi ioi sorang tgk wayang  nangis sorang tgk citer emergency declartion eh ha "
"222","Netral",0,"strange fate ketemu  gim wayang   ketemu  rl"
"223","Netral",0,"chairmanglc       wayang atok kutty kerala   badut mahkamah  menganiayai musuh politiknya anwar  dah duduh   syrt zh duit  dana syrt   pengerusi  pakai duit   menyeleweng duit syrt"
"224","Negatif",-1," kelar bikin materi belajar  anakanak  pembuangan  sampah belajar persiapan ulangan rabu besok   selasa  udah dishare   sore  nonton wayang  dah  jaga anak  sakit "
"225","Netral",0,"otongkoil udah   moshing  panggung wayang "
"226","Netral",0,"mengharamkan buddha dakwah mengharamkan kristen dakwah mengharamkan hindu dakwah mengharamkan valentin dakwah mengharamkan wayang dakwah mengharamkan ceramah zezat kafier moertad "
"227","Netral",0,"awani pmx nak tgk wayang "
"228","Negatif",-1,"bos  pening tengok  nak honeymoon kejap then  go back to work   bising ambil je cuti  you  back up fuh  greenlight  nak wayang sikit  bos "
"229","Negatif",-3,"  nonton perempuan tanah jahanam  scene pagelaran wayang   hutan  real   nyata    penari  tampil  bawa bawa menyan  panggung nya "
"230","Netral",0," ripped denim jacket wayang  rating cek harga "
"231","Negatif",-1,"ariefmaarifii vivacoid kirain wayang orang "
"232","Negatif",-1,"amofficialmy the muhyiddinyassin ex pm boneka wayang aje "
"233","Negatif",-2,"krishwangsa capres    wayang nya jokowi tuh  rambut nya putih ehemm"
"234","Negatif",-1,"puriichris wayang joget ya"
"235","Netral",0,"kali  kemenkominfo sosialisasikan rkuhp  wonogiri  wayang "
"236","Netral",0,"udah   gak nonton wayang  "
"237","Negatif",-1,"   wayang penggerak karakter fiksi  diciptakan "
"238","Netral",0,"bawak tengok wayang kalu cita tu bosan amp  mengantuk she is the one kahkah lepaih tu bawak makan ayam penyet haa giteww "
"239","Netral",0,"ladybugg  sokong bawang je nak tengok wayang  parlimen "
"240","Netral",0,"katanadda stfkly mooncuupcake nyamukgoblog yourfidanzata tanyarlfes iya mba  viral   mengharamkan wayang pdhl sbnrnya engga  jamaahnya  dalang nanya  ust khalid tntang  yg  taubat jdi dalang jdi ustadz khalid  tp jwbnnya dipotong  oknum trs  viral"
"241","Netral",0,"azizuddinatan mohammadazmy wayang je ni"
"242","Positif",1,"afifbahardin sabar  beli  tunggu tengok wayang "
"243","Netral",0,"dah   tengok wayang   free  esok  "
"244","Netral",0,"aishaheo idk  taunya  wayang"
"245","Netral",0,"suarabiasa koyak kau muhyiddinyassin wayang kau mcm org halim "
"246","Negatif",-1,"seeking his sight ketiga belas malem  abis nonton wayang chn tidur  rumah mnh  udah kebiasa mandi   tidur  mnh nya  galau  bokapnya "
"247","Netral",0,"contemplating gw bawa wayang gw  depok kagak ya  jiwa gue nggak tenang banget tidur nggak  wayang  tembok"
"248","Netral",0,"apokachu wayang era"
"249","Negatif",-3,"convomf  karna dlu   denger desas desus  proyek jalan tol pake tumbal karna pas ga pake bener  ga  mulu gituloh trus pas   dibuatin acara nntn wayang bareng ntahlah    msi kcilll"
"250","Netral",0,"parents bawak anak gi tgk wayang anak sakit perut patu anaknya  tahan nak berak haa  tercicir kat hallwayy fuhhhh hahahahahahha"
"251","Negatif",-1,"sukriomar x pyh main wayang sheikh  ketul menteri pas dlm gomen    garu  ker ruu  kemana takutkan mca ngan gerakan poodah"
"252","Negatif",-1,"mahaiii betoii tgk wayang skrg lepas hbis tgk pon kena bayaq tiket lgi "
"253","Negatif",-4,"wayang je ni    selesai   ni esok harga minyak dah turun tol dah hapus  pentaksub parti isle nak   ni esok selesai dasar kerajaan kafir dap "
"254","Negatif",-1,"sabtu penyerahan wayang  drs aryanto hendro suprantoro kepala seksi seni dinas kebudayaan diy  ki dalang kevin aditama  simbolik  pekan budaya difabel ngayomi ngayemi  ditutup  resmi pekanbudayadifab "
"255","Netral",0," ni dah  tengok net tv indonesia  wayang indonesia dah      ketimbang "
"256","Netral",0,"aslina meni raridu kitu nempona  moga dibawa pulkam    jd souvenir bwt ponakan  wayang amp sepupunya  "
"257","Negatif",-4,"shrzalhs medecinhafez simtzetzin salah laa bos judi ni mmg x  sbb  pertaruhan ramai dh org kalah judi berhutang  kalah  last bunuh  kne bunuh video  pas benarkan konsert panggung wayang   syarat kne  pengasingan lelaki perempuan dll  kne google  "
"258","Netral",0,"fckdude bbyvanilla hehe mbo blok a tau yo bos wayang nginiki wes tangi patroli "
"259","Netral",0,"faramisop wayang golek  muncul   cerita "
"260","Netral",0,"ladybugg  saje d ekor ditutup  judi ohme pub karaoke pawagam arak wayang barat konsert  rokok  diharamkan"
"261","Negatif",-1,"lemangkl aqfqsyr  cool    tgok wayang  ya"
"262","Negatif",-1,"bubu besok gue kasih wayang golek aja kali ya "
"263","Netral",0,"tetibe  nak g  tngk wayang sorg  healing "
"264","Negatif",-2,"  je  hati but  pilih  pendam contohnya khamis lepas mamat tu rapat ngn kau  pandang kau  keje  sakit hati  kau pon cakap taknak rapat dah ngn  but  pilih  pendam and ajak kau tngok wayang"
"265","Negatif",-1,"stfkly mooncuupcake nyamukgoblog yourfidanzata tanyarlfes maap mbak    followers  penonton ust   baca berita  mengharamkan wayang  bawa narasi  karna  memilah tontonan dakwah  maaf    jarang menonton dakwah via yutub c"
"266","Negatif",-1,"main  wayang windu panenjoan pangalenganbandung barwng kepin  wawasannya seluaaass samuderaaa gatau mesti bilang   makasiy banyaakkklt "
"267","Netral",0,"surabaya shopeeid "
"268","Negatif",-6,"katanadda mooncuupcake nyamukgoblog yourfidanzata tanyarlfes kalo ga tau  cari mbak  kenali   ngomong  doang mbak nya bilang  mengharamkan wayang  tuh seakan gimna ya negatif gt   mbak nya mencoba mendengarkan ceramah beliauuu  sepotong biar  salah faham mbak cmiiw"
"269","Netral",0,"yotsubaytb hahahasaya  gak ngerti wayang kulitsaya suka wayang golek"
"270","Positif",1,"faramisop ohsaya  suka     cerita wijaya kusma wayang kulit jawa  terkesan  "
"271","Netral",0,"katanadda stfkly nyamukgoblog yourfidanzata tanyarlfes  hubungannya  wayang"
"272","Negatif",-3,"sofyane yradianto  buta ya berobat  dokter gigi ya biar tau wan ebon  wayang  d dki aj  pelengkap birokrasi kerja cuman tata   "
"273","Netral",0,"stfkly mooncuupcake nyamukgoblog yourfidanzata tanyarlfes ust khalid  mengharamkan wayang"
"274","Negatif",-4,"mbaksri motifnya anies ya   balas dendam    bonekasenang  wayang yg dimainkan oligarki yg  dendam terbalaskan"
"275","Negatif",-1,"pengingat    anak  wayang  dilatih mandiri  usia belia  merantau  tinggal  kamar kostan    enam              jawabannya   "
"276","Negatif",-1,"   kadang  diluar dugaan"
"277","Positif",2,"  wayang photo op  la kau tunggu  completion lrt  original plan  sets of train  menteri kewangan ph  tu lim guan eng  dibanggakan  tony pua kurangkan  sets  geng kau la  "
"278","Negatif",-2,"sebabkan adik beradik  lelaki   faham  we dont do lovey dovey things we have this instead meh orang teman nak bege  lapa  jom makan jom wayang nak nasi goreng  ill pay netflix this month "
"279","Negatif",-2,"pandangan unik penulis  isu kontemporari  muzik wayang filem komedi membuktikan bahawa dakwah  terhad  teks agama sahaja    sahaja perbuatan   menyentuh jiwa"
"280","Positif",2,"ngl a lot happend  hujan je kenal parents   tersangkut  hujan nak gi tgk wayang mandi hujan  nak aiskrim llaollao   badan beku  kena hujan late night drive  highway lukut  elak banjir"
"281","Negatif",-1,"oposisicerdas yg marah  dalang wayang   toa doang"
"282","Negatif",-1," sesat  mall   tengok wayang "
"283","Netral",0,"plan  esok nak gi lari makan kek n tengok wayang"
"284","Negatif",-1,"rindu rumah rindu anak  wayang rindu mama amp papa semoga natal    kumpul bareng "
"285","Negatif",-3,"dpnapindo percayakan   benalu yg nyusahin orang   ngadain acara wayang orang   orang  banci "
"286","Negatif",-1,"woilll     kelasku ngembaliin gunungan wayang cakep banget bicarane kaya gugup gitu  kaget bngt  posisi ky orang celong"
"287","Negatif",-1," nkri harga mati  sebatas wayang  kebaya   pulau widi  wira  penuh heran  santai wiri      berkaitan  jawabali  berhak  nkri harga mati emang pulau widi  dimana"
"288","Netral",0,"  nak wayang  "
"289","Negatif",-1,"wulandarierian nusantaraone wayang orang  mbak "
"290","Positif",1,"jawirsolo apik koyo wayang sriwedari"
"291","Netral",0,"  nnton wayang "
"292","Netral",0,"hcikgu  nak g tgok wayang dgn cikgu mirza ahad ni aqpergilah hsaya  nak g ngan cikgu mirza ahad ni tau aqye pergilah x taula  nak maklum  nak mntak izin u big enough fiy takkan kak nur nak kurung kau"
"293","Netral",0,"wulandarierian nusantaraone mending dukung sy  yg pribumi anak wayang "
"294","Netral",0,"wayang  wayang   berlecak   lrt time rush hour "
"295","Positif",1,"matidur chaliltut tokoh wayang"
"296","Netral",0,"daisyguitari bunga anak  wayang mamimu  eunchae please"
"297","Netral",0,"mbahfpl iwansalimm gamewithdave mainnya  traditional pedang  dahan kayu pelosotan daun pisang wayanggambaransblum game electronik mlh  yg   pinball wkwkwk"
"298","Netral",0,"yandrad bozzvanc  nya yg  pj  wakilnyakaya si ahok  gantiin jokowiwakilkan   pilih rakyatini robot wayang yg  suruh  pjyaa gimana mo yg nyuruh"
"299","Netral",0,"budaya indonesia   intangible cultural heritage ich unesco keriskris wayang batik angklung saman noken  genre tari tradisional bali pinisi pencak silat pantun gamelan  proses jamu tempe tenun reog ponorogo"
"300","Netral",0,"anjulie masi  aq sk mainin wayang kulit "
"301","Netral",0,"aidasue wayang je smua ni haha"
"302","Negatif",-3," ni amik cuti ingatkan nak gi basuh kereta amp tengok wayang movie lee jong suk  bangun kepala sakit pulakkk  makan ubat  melepek je  kat rumah   tayangan  should pergi   ea"
"303","Netral",0,"mdyasmara nasdem capres wayang oligarki"
"304","Netral",0,"budaya indonesia   warisan budaya takbenda unesco keriskris wayang batik angklung tari saman noken  genre tari tradisional bali pinisi pencak silat pantun gamelan  proses jamu tempe tenun reog ponorogo"
"305","Netral",0,"budaya indonesia   warisan  ketara unesco keriskris wayang batik angklung tari saman noken  genre tari tradisional bali pinisi pencak silat pantun gamelan  proses jamu tempe tenun reog ponorogo"
"306","Positif",1,"awani  keluaran epf    bantuan kerajan  tu epf  simpanan seseorg  nak  jaga rakyat  sebernanya    wayang magic manipulate rakyat fikir abah dah tolong     kerajaan "
"307","Netral",0,"saath ndada slot bali  kah spya reuni  wayang ngengot"
"308","Netral",0,"   demo berjilid yll anies  wayang orba pendukungnya mayoritas ya pendukung orba "
"309","Netral",0,"librarianv nonton konser  nonton wayang"
"310","Negatif",-1," ketidaktahuan  mimpi buruk  pencari kebenaran cerita dongeng wayang indonesia trakteerid "
"311","Negatif",-1," ketidaktahuan  mimpi buruk  pencari kebenaran cerita dongeng wayang indonesia storialco "
"312","Negatif",-1," ketidaktahuan  mimpi buruk  pencari kebenaran cerita dongeng wayang indonesia karyakarsaid "
"313","Netral",0,"guns kt wayang   kt mane web sis urgent nk tgk hahahaha"
"314","Negatif",-1," ketidaktahuan  mimpi buruk  pencari kebenaran cerita dongeng wayang indonesia wattpad wattpadid wattpad "
"315","Negatif",-2,"suka  membaca novel menonton film wayang ketoprak  media penceritaan   membuatku  manusia  mudah jatuh cinta   storyteller   menceritakan keadaankeadaan  membentuknya"
"316","Netral",0,"indonesia traditional teather mendu randai bangsawan makyong dulmuluk nandai batebah warahan dalupa ubrug lenong longser ketoprak ludruk dadung awuk wayang orangwong wayang kulit wayang golek topeng mamanda kondobuleng koakoayang sendratari arja gambuh"
"317","Netral",0,"teater tradisional indonesia mendu randai bangsawan makyong dulmuluk nandai batebah warahan dalupa ubrug lenong longser ketoprak ludruk dadung awuk wayang orangwong wayang kulit wayang golek topeng mamanda kondobuleng koakoayang sendratari arja gambuh"
"318","Positif",1,"types of wayang in indonesia  wayang kulit wayang purwa madya gedog sadat wahyu suluh kancil krucil  wayang bambu  wayang kayu wayang golek cepak klithik timplong  wayang orangwong wayang topeng gung  wayang potehi  wayang rumputsuket"
"319","Negatif",-1,"jenisjenis wayang  bahan pembuatan  wayang kulit wayang purwa madya gedog sadat wahyu suluh kancil krucil  wayang bambu  wayang kayu wayang golek cepak klithik timplong  wayang orangwong wayang topeng gung  wayang potehi  wayang rumputsuket"
"320","Positif",1,"types of wayang kulit in indonesia based region wayang kulit gagrag yogyakarta gagrag surakarta cengkok kedu gagrag banyumasan gagrag jawa timur cirebon bali sasak banjar betawi palembang madura wayang wayangkulit"
"321","Positif",1,"jenisjenis wayang kulit  indonesia berdasarkan daerah wayang kulit gagrag yogyakarta gagrag surakarta cengkok kedu gagrag banyumasan gagrag jawa timur cirebon bali sasak banjar betawi palembang madura wayang wayangkulit"
"322","Netral",0,"jenisjenis pertunjukan wayang kulit bali indonesia  wayang lemah  wayang peteng wayang parwa wayang ramayana wayang gambuh wayang calonarang wayang cupak wayang sasak wayang arja wayang tantri  wayang babad wayang wayangkulit"
"323","Positif",1,"ndelok konser eventbcs mubengi  dadi heran saiki  wedok nek ndelok konser dangdut udute do nglecis koyo mbah mbah ndelok wayang"
"324","Netral",0,"javanese traditional dance bedhayabedaya serimpisrimpi gambyong golek menak wayang  kuda lumpingjaran kepangjathilan reog ponorogo rantaya baronganbarong topeng remo tayub ronggeng lengger sintren kethek ogleng bambangan cakil gandrung bondan payung"
"325","Positif",1,"tarian tradisional jawa tari bedhayabedaya serimpisrimpi gambyong golek menak wayang  kuda lumpingjaran kepangjathilan reog ponorogo rantaya baronganbarong topeng remo tayub ronggeng lengger sintren kethek ogleng bambangan cakil gandrung bondan payung"
"326","Netral",0,"balinese traditional dance from bali indonesia pendet rejang baris barong gambuh kebyar legong kecak joged bumbung cendrawasih topeng janger sanghyang dedari wayang  puspanjali manuk rawa teruna jaya oleg tamulilingan belibis condong gopala panyembrama"
"327","Netral",0,"tarian tradisional bali indonesia tari pendet rejang baris barong gambuh kebyar legong kecak joged bumbung cendrawasih topeng janger sanghyang dedari wayang  puspanjali manuk rawa teruna jaya oleg tamulilingan belibis condong gopala panyembrama"
"328","Positif",1,"tarian tradisional jawa  diiringi gamelan tari bedhayabedaya serimpisrimpi gambyong golek beksan wayang  kuda lumpingkepang reog ponorogo barongbarongan topeng remo tayub ronggeng lengger sintren bambangan cakil gandrung"
"329","Negatif",-2," kena suruh call cimai  cimai kepala  ajok makanmakan malam  advance birthday ainun  wayanggg  dok  mooh   kaki wayang  mollow orang je "
"330","Negatif",-2,"sanggup laki hasenun fikir  ajok hasenun keluor nok gi wayang  royak nok gi makan jahat jahat   dok ajor kawan  tipu tok laki    jugok halal harom dosa pahala ni "
"331","Netral",0,"minat generasi muda  seni pertunjukan wayang kulit kian  dinilai  rendah publisherstory tugujogja "
"332","Netral",0,"bangediii sssstttt    dengar maklumat  dalangnya om  ngomong  wayang"
"333","Netral",0,"beritasukoharjo ora nonton wayang ta kak"
"334","Positif",2,"weee keren banget kayanya wayang  fib kemarin agh knp ngga nonton"
"335","Negatif",-1,"budak kaki wayang expect   "
"336","Netral",0,"ngakorming jaga jaga wayang   "
"337","Negatif",-1,"arditerwandha   tokoh wayang yg nyulik dewi sinta klo ga salah namanya arwana"
"338","Negatif",-1,"hamdaanlwky sekberaniesid  mas wayang engkong kaget baca komen  liat photo"
"339","Negatif",-1,"armanamin  hadapan warga bermain wayang menegakkan agama   jalan  membantai dana hasil haram  dalil  dalil"
"340","Negatif",-3,"tengok jela wakanda tu  rumah bang  ko gi tengok wayang bawak anak yg  reti senyap menyusahkan orang bawak pencemaran bunyi"
"341","Negatif",-1,"takkan nak panggil crew  sedar  tu   sedar ni  kaki sentap mampos kena hadap drama ko menyentap  bawak budak kecik memekak masuk wayang p lahai"
"342","Negatif",-2,"im sorry but parents yg bwk ank under yo masuk wayang p could yall at least  common sense like anak  la terpaling  mulut yeee  curiosity level max   nk  tu  ni  pstu tendang kerusi weh pstu  ank main tepon ya allah wehhh berambos jela"
"343","Positif",1,"mengenang gregory churchill ahli hukum  kolektor wayang "
"344","Netral",0,"tetep mlaku sesuai jalur gusti pengeran sing gawe alur ora  ngawur awake dhewe mung wayang polah sak polah wis diatur dalang "
"345","Netral",0,"nawzys aah tengok wayang tu sapa ntah  join   da"
"346","Netral",0,"tvonenews iyalah gak berakar  partai gak berakar  polisi gak berakara  tni cuman jd wayang oligarki abis turun emang  yg mao belain"
"347","Netral",0,"aremafcofficial percyumaaa lek sek dadi wayang aee wkwkw"
"348","Netral",0,"reckgal    kalo  yg salah mwnurutku  sih  wayang   over   bersukur  sm yg udah tergolong toxic      kejelasan timeline maksudku kalopun   dikasih aja timeline peng februari  semacamnya"
"349","Negatif",-1,"     kawan study lepas ni   jumpa    simpan  je  haritu dh pergi mytown jugak tgk wayang in a dream  nk rewatch lagitapi dh takde "
"350","Netral",0,"effortlesgenius  dr mrk temen deket dah kek sodara sbgn bener sodara ato spupu  temen yg dah gada sbgn mantan sbgn temen ssm alumni usa n aus sbgn temen ngedrama  wayang orang  namanya jg manusia yg  muda"
"351","Negatif",-1,"msaiddidu manalah  tau   cuman wayang  dalang yg ngatur skenarionya "
"352","Netral",0,"kolom wayang politik rakyat merdeka edisi   wapol "
"353","Netral",0,"geloraco wayang  menjalankan arahan dalang"
"354","Netral",0,"soencak sang dalang dah ngosansang wayang yg arogan"
"355","Netral",0,"daniprasetyo jeonsunghye   wayang  sih"
"356","Netral",0,"dalang  wayang "
"357","Netral",0,"can enjoy my movie soon dah   layan cartoon  wayang "
"358","Positif",1,"loveagever wayang   sang dalang  contoh pemimpin  hasil give away ndak hasil  proses demokrasi "
"359","Netral",0," dah cakap setan muda ni lalang kaki wayang  agenda  amp  kepala sah bwk kesusahan  join coalition mintak ph pertimbang  penyertaan kaki wayang ni "
"360","Negatif",-2,"dadanjoko wlupn  sipil kl bs pimpin insyaallah bs  hrs militer militer jg kl ga  konsistensi pendirian yg kokoh bs sj diombangambing sprti wayang smntra sutradaradalangnya adalh mrk yg bs sandiwara"
"361","Netral",0,"prefer tengok wayang  tgv  dah gsc  showtime  sikit kite tengok mechamato  mytown jela"
"362","Netral",0,"khansafairuz dalang wayang pecundang amp pemenang"
"363","Netral",0,"oreoutama musium wayang kh"
"364","Netral",0,"mudahanmudah   tandatanda    dalang pertunjukan wayang kulit  datangnya babak zaman gorogoro"
"365","Netral",0,"rezasnegara wayang rudal"
"366","Netral",0,"ma ni   settle jugak   wayang politik  gps dah  real power ni   pressure federal  pinda akta"
"367","Netral",0,"twtarep arefeeqadnan farishawesome ejas propose wayang   jerantut  dah tapak dah  kt sg jan"
"368","Netral",0,"xatyrosdi  vr  sis magic dap   wayang"
"369","Netral",0,"menikah  arya saloka putri anne dikaruniai  anak lakilaki  menggemaskan intip potretpotret putri anne  anak  wayangnya yuk foto "
"370","Netral",0,"melgohcna   wayang sajah"
"371","Negatif",-2,"heru  istana  merusak karyaanies manusia adlh  ciptaan firman allah yg suka merusak  bkn manusia sehat mgkn  robot  boneka sadis negara super power berusaha menempatkan bonekanya sbg penguasa  negara jajahan mrk jg  gub wayang"
"372","Positif",1,"emaniman chusnulch in the pastsandiaga uno beruntung  menteri   mengabdiin the skrg anies baswedanin the future  yg mo  wayang "
"373","Positif",1,"dennysiregar in the pastsandiaga uno beruntung  menteri   mengabdiin the skrg anies baswedanin the future  yg mo  wayang "
"374","Positif",1,"yusufdumdum in the pastsandiaga uno beruntung  menteri   mengabdiin the skrg anies baswedanin the future  yg mo  wayang"
"375","Negatif",-3," titik  rangkaian peringatan  pekerja migran internasional hpmi  brbagai daerah badan pelindungan pekerja migran indonesia bpmi menyelenggarakan pagelaran wayang kulit semalam suntuk  kabupaten grobogan jateng bennyrhamdani bpmi sikatsindikat "
"376","Positif",2,"museum wayang  dikelola pemerintah provinsi dki jakarta  berperan     dilupakan upaya  kecintaan pribadipribadi  gregory churchill  ahli hukum   kolektor wayang indonesia  amerika serikat "
"377","Positif",1,"in the pastsandiaga uno beruntung  menteri   mengabdiin the skrg anies baswedanin the future  yg mo  wayang "
"378","Netral",0,"mlikr sila la  wayang berdekatan"
"379","Netral",0,"bpmi menyelenggarakan pagelaran wayang kulit semalam suntuk  kabupaten grobogan jateng dg menggelar wayang kulit semalam suntuk sbg bentuk penghormatan bg  pmi  migrant day bpmi bennyrhamdani sikatsindikat "
"380","Positif",3,"nak tonton filem terbaru  shaw   yuk langgani pakej satudigitalbh   harga sebulan  kontrak     dapatkan keping baucar wayang shaw bernilai cepat promosi  disember  "
"381","Netral",0,"tengok wayang  ngam jugak malam nie"
"382","Netral",0,"bdngfess lalajo wayang we"
"383","Negatif",-1,"idextratime emang  yg  nonton liga wayang ya"
"384","Negatif",-1,"rkr wkwkwk   gitu   fischl   pake boso dalang wayang iku  yo ribet"
"385","Positif",1,"antoniuscdn memoryusang rickykardjono hiko adieskusumah pra theoini mansemangat diredja jktnetworks jclovus kayyshusee npingitz treekedua sheryadhy jasmineyoen pinaringan ezarjunioregain edi adememed thetntrys biapong bang anton  ngetopnya yg original   kawangkoan rmh kopi gembira  amurang rmh kopi topas  tomohon rmh kopi toronata  manado resto wayang amp resto yit hien kampung cina yg  maumbi  produk  yg bervariasi bkacanguntihampir "
"386","Netral",0,"purwodadi  titik  rangkaian peringatan  pekerja migran indonesia hpmi dgn pagelaran wayang kulit semlm suntukdi kab grobogan jateng rangkaian hpmi  kab grobogan bpmi apresiasi dukungan politik anggaran  pmi bennyrhamdani bpmi sikatsindikat "
"387","Netral",0,"bdngfess handap  eta konser atawa wayang cicing kitu"
"388","Netral",0,"awani wayang jam "
"389","Netral",0," maneh kang  kalakon kajaba kang  dilakoni saliyane iku yaiku namung pinikaget kanggo wayang samngko basajawa bahasajawa javaneselanguage nnbj"
"390","Netral",0,"awani potong then duit tu pergi     rkyt then sy kagum other than that is just wayang to show u r hero"
"391","Positif",1,"bdngfess nu luhur nonton hp nu handap jiga nonton wayang  nu  konser musikna"
"392","Netral",0," filem pasal anwaribrahim dsai nak release ni mesti ironic gila   wayang perjuangan reformasi  realiti dh  reforbasi lawan rasuah  angkat rasuah  asingkan kuasa pm amp mof  satukan kuasa pm amp mof  lawan kleptokrasi  julang kleptokrat   "
"393","Negatif",-3,"smgmenfess tenda sebelah  penampakan main wayang orang"
"394","Negatif",-1,"selesai sudyah artikel wayang "
"395","Netral",0,"kacamatafauzi ramistudio iye  selesa   tertidur  wayang "
"396","Netral",0,"mkinibm wayang je ni"
"397","Negatif",-1,"cnnindonesia enak ga ya klo hidup  wayang yg  dimainin dalang"
"398","Negatif",-1,"sudahsudahlah bermain wayang politik kerana rakyat mahu lihat  perancangan kerajaan   tan sri muhyiddin yassin pengerusi perikatan nasional"
"399","Negatif",-1,"yradianto dadi eling  lurah wks wayang kampung sebelah nek ndlok  iki "
